iter	Passed	Remaining
854	2964	502
855	2967	499
856	2971	495
857	2974	492
858	2978	488
859	2981	485
860	2984	481
861	2987	478
862	2991	474
863	2994	471
864	2998	467
865	3001	464
866	3005	460
867	3008	457
868	3011	454
869	3014	450
870	3018	447
871	3021	443
872	3024	439
873	3027	436
874	3031	433
875	3034	429
876	3037	426
877	3040	422
878	3044	419
879	3047	415
880	3051	412
881	3054	408
882	3058	405
883	3061	401
884	3064	398
885	3067	394
886	3071	391
887	3074	387
888	3077	384
889	3080	380
890	3084	377
891	3087	373
892	3091	370
893	3095	367
894	3099	363
895	3103	360
896	3106	356
897	3109	353
898	3113	349
899	3116	346
900	3119	342
901	3123	339
902	3126	335
903	3129	332
904	3133	328
905	3136	325
906	3139	321
907	3142	318
908	3146	315
909	3149	311
910	3153	308
911	3156	304
912	3159	301
913	3162	297
914	3166	294
915	3169	290
916	3173	287
917	3176	283
918	3179	280
919	3182	276
920	3186	273
921	3189	269
922	3193	266
923	3196	262
924	3199	259
925	3203	255
926	3207	252
927	3210	249
928	3213	245
929	3216	242
930	3221	238
931	3224	235
932	3227	231
933	3230	228
934	3234	224
935	3237	221
936	3241	217
937	3244	214
938	3247	210
939	3251	207
940	3254	204
941	3257	200
942	3261	197
943	3264	193
944	3268	190
945	3271	186
946	3274	183
947	3277	179
948	3281	176
949	3284	172
950	3287	169
951	3290	165
952	3294	162
953	3297	158
954	3301	155
955	3304	152
956	3308	148
957	3311	145
958	3315	141
959	3318	138
960	3321	134
961	3324	131
962	3328	127
963	3331	124
964	3335	120
965	3338	117
966	3341	114
967	3345	110
968	3349	107
969	3352	103
970	3356	100
971	3359	96
972	3363	93
973	3366	89
974	3370	86
975	3373	82
976	3377	79
977	3380	76
978	3383	72
979	3387	69
980	3390	65
981	3394	62
982	3397	58
983	3400	55
984	3404	51
985	3408	48
986	3412	44
987	3415	41
988	3419	38
989	3422	34
990	3425	31
991	3429	27
992	3432	24
993	3436	20
994	3439	17
995	3443	13
996	3446	10
997	3450	6
998	3453	3
999	3456	0
